Node1	Node2	Pvalue	Cor	CorrB
Otu00050	Otu00018	0.0099	-0.6789	Negative
Otu00052	Otu00018	0.0099	-0.6417	Negative
Otu00053	Otu00018	0.0099	-0.6289	Negative
Otu00054	Otu00018	0.0099	-0.6646	Negative
Otu00055	Otu00018	0.0099	-0.7302	Negative
Otu00056	Otu00018	0.0099	0.865	Positive
Otu00057	Otu00018	0.0099	0.8701	Positive
Otu00059	Otu00018	0.0099	0.7634	Positive
Otu00061	Otu00018	0.0099	-0.6813	Negative
Otu00062	Otu00018	0.0099	0.8607	Positive
Otu00063	Otu00018	0.0099	0.8717	Positive
Otu00068	Otu00018	0.0099	-0.673	Negative
Otu00072	Otu00018	0.0099	-0.681	Negative
Otu00073	Otu00018	0.0099	-0.6169	Negative
Otu00075	Otu00018	0.0099	0.8664	Positive
Otu00077	Otu00018	0.0099	-0.6699	Negative
Otu00078	Otu00018	0.0099	-0.6729	Negative
Otu00080	Otu00018	0.0099	0.8633	Positive
Otu00087	Otu00018	0.0099	0.7145	Positive
Otu00091	Otu00018	0.0099	-0.6617	Negative
Otu00093	Otu00018	0.0099	-0.6113	Negative
Otu00095	Otu00018	0.0099	-0.5738	Negative
Otu00096	Otu00018	0.0099	0.8695	Positive
Otu00098	Otu00018	0.0099	0.8677	Positive
Otu00099	Otu00018	0.0099	0.8607	Positive
Otu00103	Otu00018	0.0099	-0.6558	Negative
Otu00109	Otu00018	0.0099	-0.5673	Negative
Otu00114	Otu00018	0.0099	-0.6123	Negative
Otu00117	Otu00018	0.0099	-0.6015	Negative
Otu00122	Otu00018	0.0099	-0.6022	Negative
Otu00127	Otu00018	0.0099	-0.6062	Negative
Otu00130	Otu00018	0.0099	-0.5522	Negative
Otu00021	Otu00019	0.0099	0.8024	Positive
Otu00022	Otu00019	0.0099	-0.674	Negative
Otu00028	Otu00019	0.0099	0.7584	Positive
Otu00033	Otu00019	0.0099	0.7273	Positive
Otu00034	Otu00019	0.0099	-0.8133	Negative
Otu00035	Otu00019	0.0099	-0.8184	Negative
Otu00039	Otu00019	0.0099	-0.6976	Negative
Otu00045	Otu00019	0.0099	0.699	Positive
Otu00046	Otu00019	0.0099	0.652	Positive
Otu00047	Otu00019	0.0099	0.6973	Positive
Otu00053	Otu00019	0.0099	0.6298	Positive
Otu00059	Otu00019	0.0099	-0.8392	Negative
Otu00072	Otu00019	0.0099	0.6825	Positive
Otu00074	Otu00019	0.0099	0.632	Positive
Otu00085	Otu00019	0.0099	0.581	Positive
Otu00089	Otu00019	0.0099	0.5609	Positive
Otu00100	Otu00019	0.0099	0.5879	Positive
Otu00101	Otu00019	0.0099	0.6637	Positive
Otu00103	Otu00019	0.0099	0.6132	Positive
Otu00105	Otu00019	0.0099	0.6034	Positive
Otu00110	Otu00019	0.0099	-0.7134	Negative
Otu00112	Otu00019	0.0099	0.5556	Positive
Otu00116	Otu00019	0.0099	-0.7106	Negative
Otu00120	Otu00019	0.0099	-0.7374	Negative
Otu00122	Otu00019	0.0099	0.6043	Positive
Otu00126	Otu00019	0.0099	0.5926	Positive
Otu00134	Otu00019	0.0099	0.5774	Positive
Otu00033	Otu00020	0.0099	-0.5636	Negative
Otu00056	Otu00020	0.0099	0.9159	Positive
Otu00057	Otu00020	0.0099	0.9209	Positive
Otu00062	Otu00020	0.0099	0.9224	Positive
Otu00063	Otu00020	0.0099	0.9267	Positive
Otu00075	Otu00020	0.0099	0.9084	Positive
Otu00080	Otu00020	0.0099	0.9202	Positive
Otu00087	Otu00020	0.0099	0.8522	Positive
Otu00096	Otu00020	0.0099	0.9212	Positive
Otu00098	Otu00020	0.0099	0.8952	Positive
Otu00099	Otu00020	0.0099	0.9168	Positive
Otu00024	Otu00021	0.0099	0.7449	Positive
Otu00032	Otu00021	0.0099	0.7411	Positive
Otu00033	Otu00021	0.0099	0.7483	Positive
Otu00034	Otu00021	0.0099	-0.7939	Negative
Otu00035	Otu00021	0.0099	-0.8372	Negative
Otu00037	Otu00021	0.0099	0.7119	Positive
Otu00041	Otu00021	0.0099	0.7314	Positive
Otu00043	Otu00021	0.0099	0.7447	Positive
Otu00045	Otu00021	0.0099	0.7224	Positive
Otu00046	Otu00021	0.0099	0.6752	Positive
Otu00054	Otu00021	0.0099	0.693	Positive
Otu00055	Otu00021	0.0099	0.6765	Positive
Otu00058	Otu00021	0.0099	0.6807	Positive
Otu00059	Otu00021	0.0099	-0.838	Negative
Otu00064	Otu00021	0.0099	0.6864	Positive
Otu00065	Otu00021	0.0099	0.672	Positive
Otu00067	Otu00021	0.0099	0.6982	Positive
Otu00077	Otu00021	0.0099	0.6906	Positive
Otu00081	Otu00021	0.0099	0.669	Positive
Otu00082	Otu00021	0.0099	0.657	Positive
Otu00084	Otu00021	0.0099	0.6679	Positive
Otu00092	Otu00021	0.0099	0.6572	Positive
Otu00094	Otu00021	0.0099	0.6327	Positive
Otu00097	Otu00021	0.0099	0.6162	Positive
Otu00099	Otu00021	0.0099	-0.6373	Negative
Otu00101	Otu00021	0.0099	0.6937	Positive
Otu00103	Otu00021	0.0099	0.5982	Positive
Otu00106	Otu00021	0.0099	0.5976	Positive
Otu00109	Otu00021	0.0099	0.568	Positive
Otu00111	Otu00021	0.0099	0.5916	Positive
Otu00119	Otu00021	0.0099	0.5913	Positive
Otu00028	Otu00022	0.0099	-0.5838	Negative
Otu00034	Otu00022	0.0099	0.7796	Positive
Otu00039	Otu00022	0.0099	0.9195	Positive
Otu00044	Otu00022	0.0099	0.9205	Positive
Otu00079	Otu00022	0.0099	0.9224	Positive
Otu00110	Otu00022	0.0099	0.9057	Positive
Otu00116	Otu00022	0.0099	0.8928	Positive
Otu00120	Otu00022	0.0099	0.8877	Positive
Otu00026	Otu00024	0.0099	0.6983	Positive
Otu00028	Otu00024	0.0099	0.6802	Positive
Otu00031	Otu00024	0.0099	0.6663	Positive
Otu00034	Otu00024	0.0099	-0.8236	Negative
Otu00035	Otu00024	0.0099	-0.825	Negative
Otu00036	Otu00024	0.0099	0.7198	Positive
Otu00037	Otu00024	0.0099	0.69	Positive
Otu00042	Otu00024	0.0099	0.6308	Positive
Otu00044	Otu00024	0.0099	-0.5869	Negative
Otu00046	Otu00024	0.0099	0.6327	Positive
Otu00047	Otu00024	0.0099	0.6819	Positive
Otu00049	Otu00024	0.0099	0.6761	Positive
Otu00050	Otu00024	0.0099	0.6648	Positive
Otu00052	Otu00024	0.0099	0.621	Positive
Otu00058	Otu00024	0.0099	0.7077	Positive
Otu00059	Otu00024	0.0099	-0.8155	Negative
Otu00064	Otu00024	0.0099	0.6567	Positive
Otu00069	Otu00024	0.0099	0.6585	Positive
Otu00072	Otu00024	0.0099	0.6133	Positive
Otu00073	Otu00024	0.0099	0.6541	Positive
Otu00074	Otu00024	0.0099	0.6477	Positive
Otu00078	Otu00024	0.0099	0.6353	Positive
Otu00081	Otu00024	0.0099	0.6129	Positive
Otu00114	Otu00024	0.0099	0.5808	Positive
Otu00116	Otu00024	0.0099	-0.6446	Negative
Otu00027	Otu00025	0.0099	0.7179	Positive
Otu00040	Otu00025	0.0099	0.8695	Positive
Otu00066	Otu00025	0.0099	0.8962	Positive
Otu00083	Otu00025	0.0099	0.814	Positive
Otu00120	Otu00025	0.0099	0.6752	Positive
Otu00032	Otu00026	0.0099	0.6829	Positive
Otu00034	Otu00026	0.0099	-0.7371	Negative
Otu00036	Otu00026	0.0099	0.7006	Positive
Otu00041	Otu00026	0.0099	0.6939	Positive
Otu00042	Otu00026	0.0099	0.6961	Positive
Otu00043	Otu00026	0.0099	0.7421	Positive
Otu00046	Otu00026	0.0099	0.704	Positive
Otu00048	Otu00026	0.0099	0.7219	Positive
Otu00050	Otu00026	0.0099	0.7097	Positive
Otu00052	Otu00026	0.0099	0.7136	Positive
Otu00053	Otu00026	0.0099	0.6379	Positive
Otu00055	Otu00026	0.0099	0.6893	Positive
Otu00059	Otu00026	0.0099	-0.7706	Negative
Otu00062	Otu00026	0.0099	-0.5854	Negative
Otu00066	Otu00026	0.0099	-0.6577	Negative
Otu00067	Otu00026	0.0099	0.6361	Positive
Otu00068	Otu00026	0.0099	0.6545	Positive
Otu00070	Otu00026	0.0099	0.6688	Positive
Otu00073	Otu00026	0.0099	0.6692	Positive
Otu00074	Otu00026	0.0099	0.6725	Positive
Otu00077	Otu00026	0.0099	0.6933	Positive
Otu00078	Otu00026	0.0099	0.6253	Positive
Otu00086	Otu00026	0.0099	0.6886	Positive
Otu00092	Otu00026	0.0099	0.6438	Positive
Otu00097	Otu00026	0.0099	0.6512	Positive
Otu00101	Otu00026	0.0099	0.6546	Positive
Otu00102	Otu00026	0.0099	0.6742	Positive
Otu00108	Otu00026	0.0099	0.6615	Positive
Otu00112	Otu00026	0.0099	0.6017	Positive
Otu00117	Otu00026	0.0099	0.6259	Positive
Otu00123	Otu00026	0.0099	0.5689	Positive
Otu00127	Otu00026	0.0099	0.5889	Positive
Otu00134	Otu00026	0.0099	0.5543	Positive
Otu00040	Otu00027	0.0099	0.8536	Positive
Otu00066	Otu00027	0.0099	0.7309	Positive
Otu00083	Otu00027	0.0099	0.8346	Positive
Otu00033	Otu00028	0.0099	0.6774	Positive
Otu00034	Otu00028	0.0099	-0.8041	Negative
Otu00035	Otu00028	0.0099	-0.8154	Negative
Otu00036	Otu00028	0.0099	0.6513	Positive
Otu00037	Otu00028	0.0099	0.6983	Positive
Otu00041	Otu00028	0.0099	0.6811	Positive
Otu00043	Otu00028	0.0099	0.6656	Positive
Otu00045	Otu00028	0.0099	0.6815	Positive
Otu00047	Otu00028	0.0099	0.6407	Positive
Otu00048	Otu00028	0.0099	0.6766	Positive
Otu00050	Otu00028	0.0099	0.6551	Positive
Otu00059	Otu00028	0.0099	-0.826	Negative
Otu00064	Otu00028	0.0099	0.6468	Positive
Otu00065	Otu00028	0.0099	0.6479	Positive
Otu00068	Otu00028	0.0099	0.613	Positive
Otu00069	Otu00028	0.0099	0.6394	Positive
Otu00070	Otu00028	0.0099	0.6684	Positive
Otu00077	Otu00028	0.0099	0.6366	Positive
Otu00078	Otu00028	0.0099	0.6288	Positive
Otu00079	Otu00028	0.0099	-0.6486	Negative
Otu00086	Otu00028	0.0099	0.6107	Positive
Otu00090	Otu00028	0.0099	0.6045	Positive
Otu00095	Otu00028	0.0099	0.6059	Positive
Otu00101	Otu00028	0.0099	0.6019	Positive
Otu00102	Otu00028	0.0099	0.644	Positive
Otu00106	Otu00028	0.0099	0.5675	Positive
Otu00114	Otu00028	0.0099	0.6532	Positive
Otu00116	Otu00028	0.0099	-0.6404	Negative
Otu00130	Otu00028	0.0099	0.5292	Positive
Otu00033	Otu00031	0.0099	0.7246	Positive
Otu00034	Otu00031	0.0099	-0.7438	Negative
Otu00035	Otu00031	0.0099	-0.7627	Negative
Otu00036	Otu00031	0.0099	0.6771	Positive
Otu00042	Otu00031	0.0099	0.6513	Positive
Otu00043	Otu00031	0.0099	0.6587	Positive
Otu00046	Otu00031	0.0099	0.6894	Positive
Otu00047	Otu00031	0.0099	0.7087	Positive
Otu00048	Otu00031	0.0099	0.6936	Positive
Otu00050	Otu00031	0.0099	0.6853	Positive
